Age,Sex,City,Marial Status,Education,Working,Sector,Working Type,Experience,Income,Abroad Ex,Abroad year,12. Ne s?kl?kla çevrimici al??veri? yap?yorsunuz?,Devices,Preference Reasons,Shopping categories,Research before purchase,HepsiBurada,Trendyol,Gittigidiyor,sahibinden,n11,Yemeksepeti,aliexpress,migros sanal market,ebebek,amazon,teknosa,kitapyurdu,morhipo,çiçeksepeti,d&r,watsons,lcwaikiki,boyner,carrefoursa,epttavm,Getir,Banabi,Bakkaldan,Kapgel,Di?er,Payment Methods,allow Site to save card infos,Following campaign days,Free shipment effect decision,Al??veri?lerinizden önce fiyat kar??la?t?rmas? yapar m?s?n?z?,Size özel teklifler sunulmas? al??veri? karar?n?z? etkiler mi?,Al??veri?leriniz sonras? geri bildirim verir misiniz?,Aras Kargo,MNG Kargo,Sürat Kargo,Yurtiçi Kargo,PTT Kargo,UPS,Info Resources before purchase,Turkey based or no would affect,Physical place affect,Research before last purchase
19-25,Kad?n,?zmir,Bekar,Lisans,0,,,,2,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu,Daha h?zl? al??veri? yapmak;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Arad???m ürünün oldu?um ?ehirde bulunmamas?;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?;Çiçek / Çikolata;Mücevher/Aksesuar,5 saatten fazla,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,Y?lda birkaç kere,,,,Y?lda birkaç kere,,Y?lda birkaç kere,,,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,,,,,,Banka Kart?,Hiçbir Zaman,Hiçbir Zaman,Her Zaman,Her Zaman,Arada Bir,Hiçbir Zaman,Bazen,Bazen,Bazen,Bazen,Bazen,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Aile üyeleri tavsiyesi;Geçmi? Tecrübelerim,Evet,Hay?r,
19-25,Erkek,?stanbul,Bekar,Lise,1,Perakende ve tüketici ürünleri,Staj,0,1,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Masaüstü Bilgisayar,Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Yemek Sipari?i;Çevrimici E?itim,5 saatten fazla,,,,,,,,,,,,,,,,,,,,,,,,,,Kredi Kart?,Hiçbir Zaman,Hiçbir Zaman,Bazen,Her Zaman,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Geçmi? Tecrübelerim,Hay?r,Hay?r,
19-25,Kad?n,?stanbul,Bekar,Lisans,1,Muhasebe,Yar? Zamanl?,4,3,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,"Yemek Sipari?i;Kitap;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Teknoloji / Elektronik;Giyim / Ayakkab?",1-3 Saat,,Ayda birkaç kere,,,,Y?lda birkaç kere,,,,,,Ayda birkaç kere,,,,,,,,,Y?lda birkaç kere,,Her gun,,,Banka Kart?;Kredi Kart?,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Hiçbir Zaman,Her Zaman,Her Zaman,S?k S?k,Her Zaman,Hiçbir Zaman,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Geçmi? Tecrübelerim,Hay?r,Hay?r,
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,Kitap;Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?;Evcil Hayvan Ürünleri;Çevrimici E?itim;Ev E?yalar?;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri;Mücevher/Aksesuar,1-3 Saat,,Haftada birkaç kere,,,Haftada birkaç kere,,Ayda birkaç kere,,,Ayda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,,Y?lda birkaç kere,Ayda birkaç kere,Her gun,,Haftada birkaç kere,,,,,,,,Banka Kart?;Kredi Kart?,S?k S?k,S?k S?k,Her Zaman,Her Zaman,Bazen,S?k S?k,Arada Bir,Arada Bir,Her Zaman,Arada Bir,Bazen,Bazen,Arkada?lar?n tavsiyeleri;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim,Evet,Evet,Online’a ozel indirim vardi. Ablama ve kuzenlerime danistim. Onerdikleri urunleri gidip magazada denedim. Diger magazalardaki satis fiyati ile karsilastirdim. Daha sonra siparisimi verdim
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,1,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Daha fazla ödeme seçece?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Arad???m ürünün oldu?um ?ehirde bulunmamas?;Ald???m baz? ürünlerin sadece online olarak sat?lmas?,Yemek Sipari?i;Müzik / Film / Hobi / Oyun;Kitap;Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?;Çiçek / Çikolata;Seyahat(Ula??m / Konaklama);Mücevher/Aksesuar,1-3 Saat,Y?lda birkaç kere,Haftada birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Her gun,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Banka Kart?;Kredi Kart?;Kap?da Ödeme,Hiçbir Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Arada Bir,Bazen,Bazen,Her Zaman,Arada Bir,Hiçbir Zaman,Arkada?lar?n tavsiyeleri;Ürün kataloglar?;Televizyon programlar? ve uzman tavsiyeleri;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Evet,Fiyat ara?t?rmas? ve ürün kalitesi 
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,4,Ya?amad?m,0,Haftada birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Daha fazla ödeme seçece?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Ald???m baz? ürünlerin sadece online olarak sat?lmas?;Denemekle ugrasmamak icin..,"Yemek Sipari?i;Müzik / Film / Hobi / Oyun;Kitap;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Giyim / Ayakkab?;Ev E?yalar?;Mücevher/Aksesuar",1 Saatten az,Ayda birkaç kere,Her gun,Ayda birkaç kere,,Ayda birkaç kere,Her gun,Y?lda birkaç kere,Y?lda birkaç kere,,,,Haftada birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Haftada birkaç kere,Her gun,,Y?lda birkaç kere,,,Her gun,,,,,Banka Kart?;Kredi Kart?,Bazen,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,S?k S?k,Arada Bir,S?k S?k,Arada Bir,S?k S?k,Her Zaman,"Reklamlar;Arkada?lar?n tavsiyeleri;Sat?? elemanlar?;Ürün kataloglar?;?lan Panolar?, el ilanlar?, afi?ler v.b.;Televizyon programlar? ve uzman tavsiyeleri;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri",Evet,Evet,Birkac farkli siteden arastirip en uygun olan yerden  satin aldim
19-25,Kad?n,?stanbul,Bekar,Lisans,1,E?lence ve medya,Yar? Zamanl?,1,3,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu;Masaüstü Bilgisayar;Dizüstü Bilgisayar;Tablet,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Daha fazla ödeme seçece?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme;Arad???m ürünün oldu?um ?ehirde bulunmamas?,Ki?isel Bak?m & Kozmetik;Teknoloji / Elektronik;Giyim / Ayakkab?;Evcil Hayvan Ürünleri;Ev E?yalar?;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri;Mücevher/Aksesuar,1-3 Saat,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,,Y?lda birkaç kere,,Y?lda birkaç kere,Y?lda birkaç kere,,,,Y?lda birkaç kere,,,,Y?lda birkaç kere,,,,,,,,,Y?lda birkaç kere,Kredi Kart?;Kap?da Ödeme,Bazen,S?k S?k,Her Zaman,Her Zaman,Her Zaman,Hiçbir Zaman,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Arada Bir,Hiçbir Zaman,Reklamlar;Arkada?lar?n tavsiyeleri;Televizyon programlar? ve uzman tavsiyeleri;Aile üyeleri tavsiyesi;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Hay?r,
19-25,Erkek,?stanbul,Bekar,Lisans,0,,,,5,2 y?ldan fazla,4,Her gun,Ak?ll? Cep Telefonu;Masaüstü Bilgisayar;Dizüstü Bilgisayar;Tablet,Daha h?zl? al??veri? yapmak,"Yemek Sipari?i;Müzik / Film / Hobi / Oyun;Dijital Müzik / Dijital Film / Dijital Oyun;Kitap;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Teknoloji / Elektronik;Giyim / Ayakkab?;Anne / Bebek / Oyuncak;Evcil Hayvan Ürünleri;Çevrimici E?itim;Ev E?yalar?;Çiçek / Çikolata;Otomobil Aksesuarlar?;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri;Finansal Hizmetler / Sigorta Al?m?;Mücevher/Aksesuar",1 Saatten az,,,,,,,,,,,,,,,,,,,,,,,,,,Kredi Kart?,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,Reklamlar;Arkada?lar?n tavsiyeleri,Evet,Evet,
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,2,Ya?amad?m,0,Ayda birkaç kere,Ak?ll? Cep Telefonu;Dizüstü Bilgisayar,Promosyonlar ve ?ndirimler;Daha h?zl? al??veri? yapmak;Daha fazla ürün seçene?i;Daha fazla ödeme seçece?i;Fiyat kar??la?t?rmas? yapabilme;Ürünü almadan önce de?erlendirmeleri okuyabilme,"Yemek Sipari?i;Dijital Müzik / Dijital Film / Dijital Oyun;Kitap;Ki?isel Bak?m & Kozmetik;H?zl? Tüketim Ürünleri(G?da,?çecek vb.);Teknoloji / Elektronik;Giyim / Ayakkab?;Seyahat(Ula??m / Konaklama);Sportif ve Kültürel Faaliyet Biletleri",5 saatten fazla,Y?lda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Ayda birkaç kere,Ayda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Y?lda birkaç kere,Banka Kart?;Kredi Kart?;BKM,Hiçbir Zaman,Her Zaman,Her Zaman,Her Zaman,Her Zaman,S?k S?k,Arada Bir,Hiçbir Zaman,Hiçbir Zaman,Her Zaman,Hiçbir Zaman,Her Zaman,Reklamlar;Arkada?lar?n tavsiyeleri;Ürün üzerindeki bilgi etiketleri;Geçmi? Tecrübelerim;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Hay?r,Evet,Fiyat ara?t?rmas? için farkl? siteleri inceledim
19-25,Kad?n,?stanbul,Bekar,Lisans,0,,,,3,Ya?amad?m,0,Y?lda birkaç kere veya daha az,Ak?ll? Cep Telefonu,Promosyonlar ve ?ndirimler;Daha fazla ürün seçene?i,Giyim / Ayakkab?,1-3 Saat,Y?lda birkaç kere,Y?lda birkaç kere,,,,Ayda birkaç kere,,,,,,,,,,,,,,,,,,,,Kap?da Ödeme,Hiçbir Zaman,Bazen,Her Zaman,Her Zaman,Her Zaman,Bazen,Hiçbir Zaman,Hiçbir Zaman,Hiçbir Zaman,Bazen,Hiçbir Zaman,Hiçbir Zaman,Reklamlar;Arkada?lar?n tavsiyeleri;Ürün/hizmet hakk?nda bilgi veren internet siteleri,Evet,Evet,Bloglardan ürün deneyimi okuma.
